key,PROGRAMA,CICLO,ESTADO,CREDITOS,PROMEDIO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
MTAwMDAwMjEzNCB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,47,3.4173617021276605,M,REGULAR,19,SOLTERO,EMPLEADO,2,0,4.6728893,-74.0807235,ENGATIVA
MTAwMDAwNjg1NyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,ACTIVO,71,3.717154929577464,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,4.7017889,-74.12474370000002,CIUDAD BOLIVAR
MTAwMDAxOTcxMCB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,58,3.8396206896551726,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,4.6133241,-74.1595035,KENNEDY
MTAwMDAzNTI5MSB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,ACTIVO,17,3.545882352941177,M,REGULAR,18,SOLTERO,EMPLEADO,2,0,,,MUNICIPIO ALEDANO
MTAwMDAzNjMxMCB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,15,1.1248,M,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,4.6519858,-74.0512203,USME
MTAwMDA0NzQ0MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,43,3.9088372093023254,M,REGULAR,20,UNION LIBRE,DESEMPLEADO,2,0,4.6244835,-74.0579741,KENNEDY
MTAwMDA0OTI2OSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,ACTIVO,37,3.7691891891891895,M,REGULAR,18,SOLTERO,DESEMPLEADO,2,0,4.598056400000001,-74.0953312,SANTA FE
MTAwMDA2MzE1OCB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,ACTIVO,61,3.6437704918032785,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,,,KENNEDY
MTAwMDA2MzI4NSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,ACTIVO,14,4.011428571428572,M,REGULAR,20,SOLTERO,EMPLEADO,2,0,4.614044,-74.0897355,MUNICIPIO ALEDANO
MTAwMDA2MzI5NyB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,ACTIVO,47,4.297957446808511,M,REGULAR,20,SOLTERO,EMPLEADO,1,0,,,CIUDAD BOLIVAR
