key,PROGRAMA,CICLO,ESTADO,CREDITOS,PROMEDIO,GENERO,TITULO_BACHILLER,EDAD,ESTADO_CIVIL,EMPLEO,ESTRATO,GRUPO_VULNERABLE,latitude,longitude,LOCALIDAD
MTAwMDAxOTIxOSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,DESERTOR,14,0.0,M,REGULAR,18,SOLTERO,DESEMPLEADO,3,0,4.5418110999999985,-74.15567829999998,LOS MARTIRES
MTAwMDA0NjI4OCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,40,2.92,M,REGULAR,20,SOLTERO,DESEMPLEADO,3,0,4.5553694,-74.1225119,MUNICIPIO ALEDANO
MTAwMDA0ODA0OCB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,28,2.6240714285714284,F,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,4.6670303,-74.1415382,KENNEDY
MTAwMDA0ODMwNiB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,DESERTOR,15,2.8391333333333337,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,,,CIUDAD BOLIVAR
MTAwMDExOTA5MCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,18,2.486111111111111,M,REGULAR,19,SOLTERO,EMPLEADO,2,0,4.6421372000000005,-74.15768790000001,BOSA
MTAwMDExOTE5MyB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,33,2.096969696969697,M,REGULAR,19,SOLTERO,DESEMPLEADO,2,0,,,BOSA
MTAwMDEzNjg2MCB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gUFJPQ0VTT1MgREUgTUFOVUZBQ1RVUkE=,TECNICA PROFESIONAL EN PROCESOS DE MANUFACTURA,TECNICO,DESERTOR,15,0.4053333333333333,M,REGULAR,21,SOLTERO,INDEPENDIENTE,2,0,4.6139568,-74.2092837,BOSA
MTAwMDE1NDYzNSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,16,3.124375,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,,,BOSA
MTAwMDE1NzgwMiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,GRADUADO,91,4.133120879120879,M,REGULAR,19,SOLTERO,,2,0,4.7622914000000005,-74.0328777,BOSA
MTAwMDIxNTEwOSB8IFRFQ05PTE9HSUEgRU4gREVTQVJST0xMTyBERSBTT0ZUV0FSRQ==,TECNOLOGIA EN DESARROLLO DE SOFTWARE,TECNOLOGIA,DESERTOR,45,3.005511111111111,M,REGULAR,21,SOLTERO,INDEPENDIENTE,3,0,4.6101322,-74.1234966,PUENTE ARANDA
MTAwMDIyMTI3NSB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,29,1.9231034482758618,M,REGULAR,20,SOLTERO,INDEPENDIENTE,2,0,4.742489599999999,-74.0818035,KENNEDY
MTAwMDIzOTQwOCB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gTUFOVEVOSU1JRU5UTyBJTkRVU1RSSUFM,TECNICO PROFESIONAL EN MANTENIMIENTO INDUSTRIAL,TECNICO,GRADUADO,73,3.5764383561643833,M,REGULAR,20,SOLTERO,DESEMPLEADO,1,0,4.7583626,-74.0486367,SUBA
MTAwMDI1MjA1NyB8IFRFQ05JQ0EgUFJPRkVTSU9OQUwgRU4gRElCVUpPIE1FQ0FOSUNPIFkgREUgSEVSUkFNSUVOVEFTIElORFVTVFJJQUxFUw==,TECNICA PROFESIONAL EN DIBUJO MECANICO Y DE HERRAMIENTAS INDUSTRIALES,TECNICO,DESERTOR,34,0.9326470588235293,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,4.6144998,-74.07431640000001,MUNICIPIO ALEDANO
MTAwMDI2OTAzMiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gRUxFQ1RST05JQ0EgSU5EVVNUUklBTA==,TECNICO PROFESIONAL EN ELECTRONICA INDUSTRIAL,TECNICO,DESERTOR,55,3.7578181818181813,F,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,,,ENGATIVA
MTAwMDI2OTE0NiB8IFRFQ05JQ08gUFJPRkVTSU9OQUwgRU4gQ09NUFVUQUNJT04=,TECNICO PROFESIONAL EN COMPUTACION,TECNICO,DESERTOR,32,2.5437499999999997,M,REGULAR,20,SOLTERO,DESEMPLEADO,2,0,,,USME
